date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2022-04-30,25324,1331,23993,0.052558837466435,25903.5714285714,1669.28571428571,24234.2857142857,0.0644422997380394,754.5,7.97,0.056315767583080316,0.06052771637848002,Phase 7
2022-05-01,18384,1265,17119,0.0688098346388164,25064.4285714286,1599.14285714286,23465.2857142857,0.0638012892488501,730,7.84,0.05586662209593849,0.05918621612531788,Phase 7
2022-05-02,24162,1739,22423,0.0719725188312226,24409.2857142857,1538,22871.2857142857,0.0630088081233723,716.7,7.69,0.054572453904219775,0.05765689236160985,Phase 7
2022-05-03,23056,1462,21594,0.063410825815406,24077,1501,22576,0.0623416538605308,677.8,7.3,0.05236846418619898,0.0562040161426194,Phase 7
2022-05-04,22708,1532,21176,0.0674652104985027,23526.7142857143,1479.28571428571,22047.4285714286,0.062876851239017,638.3,7.15,0.04919374641892445,0.05474821204126198,Phase 7
2022-05-05,22143,1405,20738,0.0634512035406223,23122.4285714286,1461.85714285714,21660.5714285714,0.0632224741592887,607.7,6.98,0.04821055220760054,0.053366985618847965,Phase 7
2022-05-06,23257,1367,21890,0.0587780023218816,22719.1428571429,1443,21276.1428571429,0.063514720122741,590.5,6.87,0.04595618514248065,0.05178339879120617,Phase 7
2022-05-07,20751,1237,19514,0.0596115849838562,22065.8571428571,1429.57142857143,20636.2857142857,0.0647865804313063,577.1,6.72,0.04494195688225539,0.050158568691088326,Phase 7
2022-05-08,19123,1365,17758,0.0713800135961931,22171.4285714286,1443.85714285714,20727.5714285714,0.0651224226804124,568.7,6.64,0.04558499355321715,0.0486897646135567,Phase 7
2022-05-09,22473,1749,20724,0.0778267254038179,21930.1428571429,1445.28571428571,20484.8571428571,0.0659040720208975,565.7,6.53,0.04514905372531233,0.0473435645879985,Phase 7
2022-05-10,20637,1448,19189,0.0701652371953288,21584.5714285714,1443.28571428571,20141.2857142857,0.0668665448865592,563.5,6.55,0.043590478921709204,0.04608956669307139,Phase 7
2022-05-11,21371,1490,19881,0.0697206494782649,21393.5714285714,1437.28571428571,19956.2857142857,0.0671830656739341,549.5,6.38,0.04224430540220014,0.04509678940496791,Phase 7
2022-05-12,20464,1314,19150,0.0642103205629398,21153.7142857143,1424.28571428571,19729.4285714286,0.0673302898511575,534.2,6.2,0.040953120529693056,0.04406001345098113,Phase 7
2022-05-13,21136,1247,19889,0.0589988644965935,20850.7142857143,1407.14285714286,19443.5714285714,0.0674865540748861,515.7,6.03,0.04018242327129299,0.04323519032652575,Phase 7
2022-05-14,18775,1076,17699,0.0573102529960053,20568.4285714286,1384.14285714286,19184.2857142857,0.0672945360087235,503.3,5.89,0.039145022989934136,0.042407056913337,Phase 7
2022-05-15,16482,1184,15298,0.0718359422400194,20191.1428571429,1358.28571428571,18832.8571428571,0.0672713636813879,495.1,5.8,0.0383528629601928,0.04137389540004781,Phase 7
2022-05-16,21190,1491,19699,0.070363378952336,20007.8571428571,1321.42857142857,18686.4285714286,0.0660454821320196,490.6,5.75,0.039017938331817804,0.04049802177240573,Phase 7
2022-05-17,19582,1178,18404,0.0601572873046676,19857.1428571429,1282.85714285714,18574.2857142857,0.0646043165467626,467.6,5.48,0.03890489913544669,0.03982865323151109,Phase 7
2022-05-18,19388,1084,18304,0.0559108727047658,19573.8571428571,1224.85714285714,18349,0.0625761766788063,435.4,5.24,0.03737044225131106,0.03913238706709836,Phase 7
2022-05-19,17786,1006,16780,0.0565613403800742,19191.2857142857,1180.85714285714,18010.4285714286,0.0615309031628939,407.4,5.07,0.036103317379105465,0.038439558045585846,Phase 7
2022-05-20,18294,931,17363,0.0508910025144856,18785.2857142857,1135.71428571429,17649.5714285714,0.0604576530263048,382.5,4.83,0.034015578389128276,0.0375585802052766,Phase 7
2022-05-21,17247,871,16376,0.0505015364991013,18567,1106.42857142857,17460.5714285714,0.0595911332702414,362.2,4.63,0.03350741591811155,0.036753207766444806,Phase 7
2022-05-22,14764,878,13886,0.0594689785965863,18321.5714285714,1062.71428571429,17258.8571428571,0.0580034463668899,354.6,4.59,0.034336565503924776,0.036179450986977946,Phase 7
2022-05-23,18838,1060,17778,0.0562692430194288,17985.5714285714,1001.14285714286,16984.4285714286,0.0556636669076005,351.3,4.57,0.03269302576442767,0.03527589204877935,Phase 7
2022-05-24,17115,928,16187,0.0542214431784984,17633.1428571429,965.428571428571,16667.7142857143,0.054750793959427,329,4.3,0.030419809773696294,0.034063736425672154,Phase 7
2022-05-25,17490,890,16600,0.0508862206975415,17362,937.714285714286,16424.2857142857,0.0540095775667714,303.3,4.05,0.029453934701568964,0.032932806775709,Phase 7
2022-05-26,11588,532,11056,0.0459095616154643,16476.5714285714,870,15606.5714285714,0.0528022473468822,281.2,3.82,0.02890625,0.031904654292979645,Phase 7
2022-05-27,15875,870,15005,0.0548031496062992,16131,861.285714285714,15269.7142857143,0.0533932003152758,238.1,3.3,0.02896517577157947,0.031183168204758388,Phase 7
2022-05-28,14841,649,14192,0.043730206859376,15787.2857142857,829.571428571429,14957.7142857143,0.0525468052954005,229.2,3.31,0.027724823870700372,0.030357083626556793,Phase 7
2022-05-29,14035,869,13166,0.0619166369789811,15683.1428571429,828.285714285714,14854.8571428571,0.0528137581752929,225.4,3.22,0.027277641481974303,0.029348665909135294,Phase 7
2022-05-30,18492,1002,17490,0.054185593770279,15633.7142857143,820,14813.7142857143,0.0524507474688402,224.8,3.2,0.027512748807369633,0.02860862634384129,Phase 8
2022-05-31,17268,831,16437,0.0481236970118138,15655.5714285714,806.142857142857,14849.4285714286,0.0514923943096479,224.6,3.14,0.02797002334247922,0.02825865685366742,Phase 8
2022-06-01,16534,872,15662,0.0527398088786742,15519,803.571428571429,14715.4285714286,0.0517798459031786,230.4,3.16,0.02746847879482561,0.027975020295561228,Phase 8
2022-06-02,16023,838,15185,0.0522998190101729,16152.5714285714,847.285714285714,15305.2857142857,0.05245515972689,241.9,3.22,0.026560642701971553,0.027639933538700024,Phase 8
2022-06-03,16702,942,15760,0.0564004310860975,16270.7142857143,857.571428571429,15413.1428571429,0.0527064401422363,282.9,3.69,0.02614298612821144,0.027236763589647446,Phase 8
2022-06-04,14423,924,13499,0.064064341676489,16211,896.857142857143,15314.1428571429,0.0553239863584691,291.1,3.71,0.02548428400313907,0.02691668646571012,Phase 8
2022-06-05,11329,864,10465,0.0762644540559626,15824.4285714286,896.142857142857,14928.2857142857,0.0566303454875373,293.7,3.77,0.02539248581251812,0.026647378512930663,Phase 8
2022-06-06,14109,1156,12953,0.0819335176128712,15198.2857142857,918.142857142857,14280.1428571429,0.0604109486032259,294.4,3.79,0.026249117414960336,0.026466859742586477,Phase 8
